id,Город дистрибьютора,Торг_точка_грязная,Торг_точка_грязная_адрес,outlet_clean_id
13890,Ростов-на-Дону,"Курзанцева О.А.ИП ул.Железнякова,43","346930, Ростовская обл, Новошахтинск г, Железнякова ул, дом № 43",3400
13891,Ростов-на-Дону,Курзанцева В.Н. ИП ул.Короленко,-,3395
13892,Ростов-на-Дону,"Курзанцева О.А.ИП ул.Шахтная,3б/38а","346903, Ростовская обл, Новошахтинск г, Шахтная ул, дом № 3б/38а",3401
13893,Ростов-на-Дону,Куриленко Г.М. ИП,"346361, Ростовская обл, Красносулинский р-н, Красный Сулин г, 50 лет Октября ул, дом № 16, кв.4",0
13894,Ростов-на-Дону,Куриленко Г.М. ИП,-,204
13895,Ростов-на-Дону,Куриленко Г.М. ИП,"346361, Ростовская обл, Красный Сулин г, 50 лет Октября ул, дом № 10",3402
13896,Ростов-на-Дону,Курилова А.Н. ИП,"п. Опенки, Каштанов, дом № 19, кв.1",0
13897,Ростов-на-Дону,Курносова Е.А.ИП,"346554, Ростовская обл, Усть-Донецкий р-н, Нижнекундрюченская ст-ца, Советская ул, дом № 10",3403
13898,Ростов-на-Дону,Курочкин В.Г. ИП,-,205
13899,Ростов-на-Дону,Курочкин В.Г. ИП,"346359, Ростовская обл, Красносулинский р-н, Красный Сулин г, Вокзальная ул, дом № 44",205
13900,Ростов-на-Дону,Курочкина И.В. ИП ул.Сулинская 29,-,3404
13901,Ростов-на-Дону,Курочкина Т.С. ИП,"346934, Ростовская обл, Новошахтинск г, Давыдова ул, дом № 1-Г",3405
13902,Ростов-на-Дону,Кутепова Н.В. ИП Восстания,-,0
13903,Ростов-на-Дону,Кутровская Н.В. ИП,"346744, Ростовская обл, Азовский р-н, 8-928-133-75-53, Кулешовка с, Зеленый пер, дом № 7",3406
13904,Ростов-на-Дону,Кутровская Н.В. ИП,-,0
13905,Ростов-на-Дону,Кутровская Н.В. ИП,"346744, Ростовская обл, Азовский р-н, Кулешовка с, Первомайская ул, дом № 1, корпус а",0
13906,Ростов-на-Дону,Кухаренко М.В. ИП,-,0
